2021-05-31/04:56:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:09		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:10		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:12		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:13		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:14		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:15		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:16		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:17		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:18		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:19		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:20		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:21		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:22		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:23		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:24		 wafer_16012020_051629.csv: File loaded successfully!!
2021-05-31/04:56:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:24		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:25		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:26		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:27		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:28		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:29		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:30		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:30		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:30		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:30		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:30		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_20022020_090716.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:31		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
